Age,Monthly_Income,Num_Dependents,Loan_Tenure,Interest_Rate,Outstanding_Loan_Amount,Collection_Attempts,EMI_to_Income_Ratio,Collateral_Coverage,Default_Severity,Borrower_Segment,Segment_Name,High_Risk_Flag,Predicted_High_Risk,Predicted_Risk_Score,Recovery_Strategy
28,169268,0,36,6.2,53007.7869885112,10,0.008698868067207034,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
27,50946,0,72,9.07,517458.952412114,1,0.14106956385192165,0.0,327,1,"Affluent, Low Risk Borrowers",0,,,
26,212096,1,48,13.83,251171.542546093,3,0.024671563820156908,1.3587614298387058,157,3,"Secured, Moderate Risk Borrowers",0,,,
55,25382,0,24,6.05,86465.8576801809,6,0.14194074541013316,0.9802942587913566,315,0,"Low Income, High EMI Burden Borrowers",1,,,
42,140354,3,48,15.26,1007990.87047716,0,0.14962031719794236,0.0,26,1,"Affluent, Low Risk Borrowers",0,,,
57,63320,0,60,13.02,578626.213521779,2,0.15230211623499684,0.0,176,1,"Affluent, Low Risk Borrowers",0,,,
26,147439,0,48,13.43,1265836.32265874,9,0.17886441172281417,1.037584625692565,568,2,"High Income, High Default Risk Borrowers",1,,,
43,46007,1,36,6.29,213155.210997799,0,0.12869737213902233,1.3536545489411118,162,3,"Secured, Moderate Risk Borrowers",0,,,
62,42723,3,48,10.7,50698.2385105649,3,0.02472228073871217,0.7239245877965899,513,2,"High Income, High Default Risk Borrowers",1,,,
43,51059,3,48,7.03,963989.883321853,1,0.39333163595056697,1.3865025266418993,214,3,"Secured, Moderate Risk Borrowers",0,,,
28,53467,0,48,5.31,226290.322217134,2,0.08817363981521312,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
28,130395,3,12,6.97,47548.9800893747,2,0.030387821618927106,0.7315990247638997,920,2,"High Income, High Default Risk Borrowers",1,,,
22,94973,3,48,7.86,822335.81162992,2,0.18038811030503407,0.8393228356557105,0,3,"Secured, Moderate Risk Borrowers",0,,,
50,88794,3,24,8.26,163957.393977625,2,0.07693718044011984,0.0,350,1,"Affluent, Low Risk Borrowers",0,,,
40,78646,2,48,8.61,973084.746477505,2,0.25777026167891565,0.7609185796501684,140,3,"Secured, Moderate Risk Borrowers",0,,,
51,136237,2,36,10.75,1109180.51866061,2,0.22615420186880217,0.7617511001344847,18,3,"Secured, Moderate Risk Borrowers",0,,,
24,173056,3,48,7.06,729545.278108673,1,0.08782625277366864,0.0,165,1,"Affluent, Low Risk Borrowers",0,,,
27,124847,0,36,13.04,349636.145567905,1,0.07779217762541352,0.9123664872746804,316,3,"Secured, Moderate Risk Borrowers",0,,,
54,232285,3,48,14.32,814388.790842087,3,0.07304143616677788,0.0,332,1,"Affluent, Low Risk Borrowers",0,,,
24,210804,3,36,9.09,1229562.68897783,2,0.1620202652701087,0.7836079234171353,210,3,"Secured, Moderate Risk Borrowers",0,,,
53,88297,2,24,15.98,392437.36387115,2,0.18518817173856417,0.5686486661478722,0,3,"Secured, Moderate Risk Borrowers",0,,,
28,236427,0,72,6.14,1142483.77889582,3,0.0671151349042199,1.1617038454813502,219,3,"Secured, Moderate Risk Borrowers",0,,,
48,185604,1,12,11.81,123180.984311962,0,0.05530635115622508,0.8603940400541112,201,3,"Secured, Moderate Risk Borrowers",0,,,
60,160556,0,60,17.26,93217.1434616249,10,0.009676499165400233,0.0,179,1,"Affluent, Low Risk Borrowers",0,,,
56,194785,1,72,8.96,503303.41802593,0,0.035887414328618736,0.7098976295862336,49,1,"Affluent, Low Risk Borrowers",0,,,
32,120823,1,24,12.61,279236.2548946,7,0.09629656605116575,0.0,202,1,"Affluent, Low Risk Borrowers",0,,,
50,196187,2,36,10.6,1389518.10651421,7,0.19673948834530322,1.2545369159024613,0,3,"Secured, Moderate Risk Borrowers",0,,,
59,215641,2,36,15.85,1337482.34648733,3,0.17228769111625342,0.8986424942130612,375,2,"High Income, High Default Risk Borrowers",1,,,
64,24110,2,60,7.83,474944.42243375105,1,0.3283177104935711,0.0,155,1,"Affluent, Low Risk Borrowers",0,,,
27,126279,2,60,14.9,123821.094126002,1,0.016342226340088216,1.0346609230755246,222,3,"Secured, Moderate Risk Borrowers",0,,,
40,197573,2,60,11.51,40982.5498582881,6,0.0034571525461475,0.5722769475731759,312,3,"Secured, Moderate Risk Borrowers",0,,,
47,134264,3,48,13.38,402043.410909084,9,0.0623838109992254,1.2251111599333109,396,3,"Secured, Moderate Risk Borrowers",0,,,
61,60272,3,48,13.87,891816.163829293,0,0.308260883992567,0.7318412917147282,513,2,"High Income, High Default Risk Borrowers",1,,,
45,192953,0,12,17.97,395644.955796061,0,0.17087275139541755,1.4525167896845963,88,3,"Secured, Moderate Risk Borrowers",0,,,
48,19114,2,60,13.05,17239.9773649428,3,0.015032436957204142,1.4041353525781912,0,3,"Secured, Moderate Risk Borrowers",0,,,
50,82203,0,36,8.25,169628.339659603,7,0.05732029244674768,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
57,206305,0,60,9.13,227327.954866786,2,0.01836504204939289,0.0,213,1,"Affluent, Low Risk Borrowers",0,,,
56,204420,1,48,7.8,67579.7497917367,2,0.00688733979062714,0.0,168,1,"Affluent, Low Risk Borrowers",0,,,
34,48997,1,36,10.72,1403817.72880089,1,0.795863828397657,0.0,189,0,"Low Income, High EMI Burden Borrowers",1,,,
21,142810,3,60,15.71,52716.2959810928,0,0.0061522302359778725,1.044595448710749,69,3,"Secured, Moderate Risk Borrowers",0,,,
49,178189,0,36,14.9,750748.116534284,3,0.11703365527613939,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
55,72716,1,12,7.58,413442.006552764,1,0.4738090654051378,0.9454529297342872,252,0,"Low Income, High EMI Burden Borrowers",1,,,
47,103009,2,72,14.73,490032.652893698,0,0.06607199370928754,1.2390914219929536,0,3,"Secured, Moderate Risk Borrowers",0,,,
50,217903,3,72,8.64,405643.839578997,9,0.02585526587518299,0.0,438,1,"Affluent, Low Risk Borrowers",0,,,
32,180140,3,72,10.34,1595668.08187182,2,0.12302686799156212,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
21,218502,1,48,16.92,154104.478848432,2,0.014693275118763217,0.6942735710018016,537,3,"Secured, Moderate Risk Borrowers",0,,,
53,19358,1,12,11.56,45015.9250151679,0,0.19378706477941937,0.6931600084084335,97,0,"Low Income, High EMI Burden Borrowers",1,,,
55,150327,1,48,11.03,392256.200877593,1,0.05436149194755433,0.0,216,1,"Affluent, Low Risk Borrowers",0,,,
49,205961,1,60,12.12,92939.6452455202,2,0.007520792771447022,0.9828512744101038,16,3,"Secured, Moderate Risk Borrowers",0,,,
60,127418,2,24,10.78,1323596.49127984,3,0.4328262097976738,1.2126656189865481,0,0,"Low Income, High EMI Burden Borrowers",1,,,
52,239372,2,36,9.22,221929.340784863,9,0.025753638687900003,1.3364209229856372,0,3,"Secured, Moderate Risk Borrowers",0,,,
42,160282,1,36,15.29,576284.751761527,0,0.09987341061379319,0.7070570833830325,44,3,"Secured, Moderate Risk Borrowers",0,,,
60,87588,2,72,8.64,568179.822779622,8,0.09009670274466822,0.0,123,1,"Affluent, Low Risk Borrowers",0,,,
57,231184,0,60,6.85,243672.660061019,1,0.017567002906775556,1.0300624550517294,0,3,"Secured, Moderate Risk Borrowers",0,,,
22,78449,0,72,11.74,68321.2645424028,2,0.01209588395008222,0.0,90,1,"Affluent, Low Risk Borrowers",0,,,
59,188359,1,24,16.65,1155829.78595858,3,0.2556796861312706,1.0624293741179214,0,3,"Secured, Moderate Risk Borrowers",0,,,
33,208510,3,72,10.8,396759.251400342,3,0.02642822886192509,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
48,183722,3,48,15.14,905052.08216628,2,0.10262924418414779,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
32,113540,0,72,17.89,819030.828064561,2,0.1001887440549586,0.7165791856272412,828,2,"High Income, High Default Risk Borrowers",1,,,
61,122971,0,48,8.22,1037038.92839854,2,0.17569166714103324,0.0,58,1,"Affluent, Low Risk Borrowers",0,,,
22,193686,0,36,7.3,742843.392597528,2,0.10653604287351694,0.5016437571124495,20,3,"Secured, Moderate Risk Borrowers",0,,,
53,183452,3,48,16.64,56895.369774737,9,0.006461199659856529,1.2502607940873167,0,3,"Secured, Moderate Risk Borrowers",0,,,
29,152710,0,60,10.07,483715.686850746,0,0.05279241699954162,1.2440285803476763,195,3,"Secured, Moderate Risk Borrowers",0,,,
25,156826,1,60,16.22,329600.123586394,7,0.03502824786706286,0.5545119274378262,179,3,"Secured, Moderate Risk Borrowers",0,,,
59,82649,1,60,17.06,875490.423272566,8,0.1765479316144176,1.082628646040367,0,3,"Secured, Moderate Risk Borrowers",0,,,
46,46910,2,24,13.29,1294342.87601373,6,1.1496685141760818,1.0172934821522548,218,0,"Low Income, High EMI Burden Borrowers",1,,,
43,220768,0,72,5.59,478879.540190451,2,0.030127101753877374,0.0,142,1,"Affluent, Low Risk Borrowers",0,,,
45,83388,1,36,6.59,1005392.95062193,3,0.33491125821461126,0.0,114,0,"Low Income, High EMI Burden Borrowers",1,,,
48,185954,2,36,6.0,84786.7359489243,4,0.01266544414209966,0.8258813426157889,0,3,"Secured, Moderate Risk Borrowers",0,,,
33,219456,3,60,6.81,174851.171406514,7,0.013279153907844853,0.7670750074563324,234,3,"Secured, Moderate Risk Borrowers",0,,,
47,106736,2,36,13.86,211469.316021216,0,0.055034383900464695,0.6849202974671426,186,3,"Secured, Moderate Risk Borrowers",0,,,
25,79315,1,60,14.96,434600.551456641,4,0.09132370926054341,0.0,240,1,"Affluent, Low Risk Borrowers",0,,,
35,115494,2,60,10.77,289926.498785802,3,0.04183862365144509,0.9386475002460555,970,2,"High Income, High Default Risk Borrowers",1,,,
43,243984,0,36,14.83,191480.921923429,7,0.021800240999409796,0.0,30,1,"Affluent, Low Risk Borrowers",0,,,
31,101475,2,24,10.6,292208.248217513,0,0.11998364129095837,1.4115147258658458,0,3,"Secured, Moderate Risk Borrowers",0,,,
42,125944,0,36,13.48,1622079.82582175,1,0.35776035380804166,0.0,183,0,"Low Income, High EMI Burden Borrowers",1,,,
59,228883,0,48,8.3,234933.91626469,5,0.021384113280584403,0.0,237,1,"Affluent, Low Risk Borrowers",0,,,
46,211733,2,72,11.32,309070.295577911,1,0.020273835443695598,1.222784600621519,96,3,"Secured, Moderate Risk Borrowers",0,,,
41,70204,0,48,16.04,889936.531328696,3,0.26409235940972026,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
25,49084,0,48,14.87,248884.68581297,4,0.10563727487572326,1.1714060726437323,72,3,"Secured, Moderate Risk Borrowers",0,,,
59,51321,3,48,17.07,103122.800647711,2,0.04186181095457999,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
44,234249,1,72,8.88,131427.703149292,0,0.007792477235761946,0.0,332,1,"Affluent, Low Risk Borrowers",0,,,
23,226830,3,72,11.67,165543.020116672,9,0.010136269452894238,0.9502824838315255,22,3,"Secured, Moderate Risk Borrowers",0,,,
63,193936,0,60,6.93,1800582.92009338,4,0.15474032670571736,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
43,222815,2,60,6.24,58978.5883309393,4,0.004411641945111415,1.208899112773318,87,3,"Secured, Moderate Risk Borrowers",0,,,
37,211501,0,48,7.53,85220.4074205775,0,0.008394428395137613,1.0311094963375282,39,3,"Secured, Moderate Risk Borrowers",0,,,
21,146733,3,72,13.1,1540842.9742347,2,0.14584721909863493,0.782367919042657,330,2,"High Income, High Default Risk Borrowers",1,,,
35,118409,3,60,9.66,450011.031032058,2,0.06334130007009603,0.0,27,1,"Affluent, Low Risk Borrowers",0,,,
64,87240,2,48,17.27,1880951.15998271,0,0.44918019257221464,1.348923869476071,456,2,"High Income, High Default Risk Borrowers",1,,,
63,163159,1,60,16.87,135521.901231574,3,0.01384355138239386,1.3629223935109895,880,2,"High Income, High Default Risk Borrowers",1,,,
50,187395,3,48,12.56,1418352.56304352,0,0.15768302249259586,1.191416057513151,153,3,"Secured, Moderate Risk Borrowers",0,,,
56,27149,1,48,14.07,90034.9796666552,1,0.06909020590076982,1.1202413542689127,184,3,"Secured, Moderate Risk Borrowers",0,,,
57,39089,2,36,15.32,85488.4950991675,0,0.06075059479649006,1.37745212660317,306,3,"Secured, Moderate Risk Borrowers",0,,,
21,207018,2,60,13.38,502050.700624401,5,0.04041923890676173,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
37,37911,0,24,16.35,71521.6777225034,1,0.07860700060668407,0.7344994776740938,0,3,"Secured, Moderate Risk Borrowers",0,,,
57,23125,2,48,12.25,363541.363242674,1,0.3275148108108108,0.0,3,1,"Affluent, Low Risk Borrowers",0,,,
59,154978,0,12,10.73,79159.2067484115,7,0.04256475112596627,1.4807938054145835,0,3,"Secured, Moderate Risk Borrowers",0,,,
46,201994,3,48,17.93,509862.68469836,0,0.05258641345782548,0.5871092894614336,138,3,"Secured, Moderate Risk Borrowers",0,,,
28,119061,1,24,11.8,394388.86046208703,3,0.13802059448517986,0.0,41,1,"Affluent, Low Risk Borrowers",0,,,
39,89069,0,48,6.59,1297457.01548273,0,0.3034765182049871,0.0,960,2,"High Income, High Default Risk Borrowers",1,,,
55,227112,3,12,10.51,723845.481790256,2,0.26559785480291664,1.3150721006758108,175,3,"Secured, Moderate Risk Borrowers",0,,,
44,249182,2,48,17.51,148903.251766638,2,0.012449334221572987,0.8632727963988983,0,3,"Secured, Moderate Risk Borrowers",0,,,
21,92576,1,48,9.07,272210.547199807,3,0.0612583174904943,0.8146289089351981,70,3,"Secured, Moderate Risk Borrowers",0,,,
43,61413,0,72,7.48,947590.96147559,0,0.21430299773663555,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
28,96929,0,12,6.17,762418.940740655,0,0.6554788556572336,1.3259409191119211,64,0,"Low Income, High EMI Burden Borrowers",1,,,
53,169741,1,72,6.21,234888.460229431,4,0.01921951679323204,0.0,282,1,"Affluent, Low Risk Borrowers",0,,,
46,245145,3,24,17.87,1716129.78381275,2,0.29168618572681476,1.2593108551502077,57,3,"Secured, Moderate Risk Borrowers",0,,,
35,156178,0,48,8.74,104401.256265566,2,0.013926609381603044,0.0,80,1,"Affluent, Low Risk Borrowers",0,,,
24,216659,2,12,5.02,239745.19189996,2,0.0922129706128063,0.7455506259444912,16,3,"Secured, Moderate Risk Borrowers",0,,,
55,170683,0,24,15.16,143707.31208417,0,0.035081408224603504,1.3291506402841382,150,3,"Secured, Moderate Risk Borrowers",0,,,
23,211910,0,60,15.17,195673.264210586,2,0.015389646548062855,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
50,240160,3,48,9.13,16273.8714789878,1,0.0014117255163224518,0.0,712,2,"High Income, High Default Risk Borrowers",1,,,
26,173038,0,72,10.64,143093.055123418,0,0.011485338480564962,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
52,110673,2,60,15.95,1157027.94043291,1,0.17424123318243834,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
31,157635,0,60,8.08,1319715.73782741,1,0.13953284486313317,0.9765264708322375,363,2,"High Income, High Default Risk Borrowers",1,,,
34,65138,3,36,5.35,425034.02627279906,2,0.18125364610519204,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
60,57828,0,24,15.11,369679.09189304494,2,0.26636404509925987,1.3766138270158914,72,3,"Secured, Moderate Risk Borrowers",0,,,
24,74189,2,12,12.36,287643.017780938,1,0.32309708986507435,0.9781589235558437,0,3,"Secured, Moderate Risk Borrowers",0,,,
59,44301,3,48,9.0,838064.883081744,2,0.3941150312634026,0.9873844416720388,1344,2,"High Income, High Default Risk Borrowers",1,,,
54,69253,0,24,8.3,31208.3959461316,0,0.018776803892972146,0.5870712055773079,169,1,"Affluent, Low Risk Borrowers",0,,,
34,86031,0,12,5.8,1397196.42017471,1,1.3533847101626157,1.2679699780618312,154,0,"Low Income, High EMI Burden Borrowers",1,,,
29,80108,2,60,6.52,1116947.38898348,0,0.23238365706296502,0.9713082745741196,345,2,"High Income, High Default Risk Borrowers",1,,,
28,222738,1,48,14.77,62180.9184565466,2,0.0058159811078486836,1.1285664006472835,64,3,"Secured, Moderate Risk Borrowers",0,,,
26,25756,0,48,9.92,275806.117595435,1,0.22309209504581456,1.3123261802470605,59,3,"Secured, Moderate Risk Borrowers",0,,,
51,107578,2,48,13.43,196895.742999182,1,0.03813037981743479,0.0,154,1,"Affluent, Low Risk Borrowers",0,,,
43,139398,3,24,15.19,70542.3725462087,0,0.021085453162886125,0.7745066735070794,38,3,"Secured, Moderate Risk Borrowers",0,,,
57,18726,0,72,5.61,756550.092606408,3,0.5611257075723592,0.9281551730301204,435,2,"High Income, High Default Risk Borrowers",1,,,
47,91153,2,60,5.66,1676644.93575335,0,0.30656237315283097,1.1965614021440445,250,2,"High Income, High Default Risk Borrowers",1,,,
42,175400,2,36,12.11,498431.567695349,1,0.07893568985176738,0.0,31,1,"Affluent, Low Risk Borrowers",0,,,
51,105517,0,60,11.24,269668.129696078,2,0.042594747765762865,0.964203948952127,0,3,"Secured, Moderate Risk Borrowers",0,,,
30,33073,0,24,15.56,395327.538801572,1,0.49804916397061044,1.2448250755299122,104,3,"Secured, Moderate Risk Borrowers",0,,,
36,25526,2,24,14.42,30346.8558307825,5,0.049535767452793235,0.8014630594587981,15,3,"Secured, Moderate Risk Borrowers",0,,,
40,74182,0,60,14.06,822662.320301956,2,0.18482974306435523,0.0,169,1,"Affluent, Low Risk Borrowers",0,,,
53,134503,3,48,9.32,132957.197280475,5,0.020593890099105595,1.3203240881472027,0,3,"Secured, Moderate Risk Borrowers",0,,,
31,237821,0,36,13.5,844803.611140446,1,0.09867408681319144,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
62,94134,0,36,16.67,171413.17841171,1,0.05058193638855248,0.5376977249148533,0,1,"Affluent, Low Risk Borrowers",0,,,
48,124834,2,60,14.23,453140.481386292,1,0.06049906275533909,0.0,66,1,"Affluent, Low Risk Borrowers",0,,,
57,136999,3,36,12.35,102299.770086706,3,0.0207421951985051,0.0,78,1,"Affluent, Low Risk Borrowers",0,,,
39,216039,1,72,14.27,1559717.06307321,0,0.1002723582316156,0.0,156,1,"Affluent, Low Risk Borrowers",0,,,
55,193486,3,48,16.23,100394.593842151,3,0.010809826033924936,1.1246639742837172,480,3,"Secured, Moderate Risk Borrowers",0,,,
55,201481,2,24,12.3,1235248.91584916,7,0.25545187883721043,1.1865139430432496,356,2,"High Income, High Default Risk Borrowers",1,,,
62,22421,0,12,6.07,1372451.30899071,9,5.10106328888096,0.0,304,0,"Low Income, High EMI Burden Borrowers",1,,,
36,227781,1,60,8.24,996111.720626737,3,0.07288518357545186,0.9400710750664998,684,2,"High Income, High Default Risk Borrowers",1,,,
33,71549,1,24,13.59,32142.5811960219,1,0.018718221079260366,1.0704094914036424,54,3,"Secured, Moderate Risk Borrowers",0,,,
52,214083,0,48,6.86,29491.8334239285,9,0.0028699616503879335,0.8428389648054508,219,3,"Secured, Moderate Risk Borrowers",0,,,
25,125448,0,60,6.88,730341.395546821,2,0.0970311204642561,1.1715877429389265,30,3,"Secured, Moderate Risk Borrowers",0,,,
36,134891,2,12,9.08,420333.374675138,0,0.2596747003135865,1.0081417186651944,0,3,"Secured, Moderate Risk Borrowers",0,,,
46,140541,2,48,7.38,86650.5985428886,3,0.012844792622793349,0.943771339092245,324,3,"Secured, Moderate Risk Borrowers",0,,,
29,138008,3,12,9.7,589292.152087496,2,0.35583212567387396,0.0,0,0,"Low Income, High EMI Burden Borrowers",1,,,
36,163697,2,24,10.59,140271.902933321,5,0.035704136300604164,0.0,75,1,"Affluent, Low Risk Borrowers",0,,,
61,96571,1,48,9.51,802661.76264118,3,0.1731588157935612,0.0,366,1,"Affluent, Low Risk Borrowers",0,,,
35,176731,3,36,12.47,787026.485706323,8,0.1237012748187924,1.03496667340944,507,2,"High Income, High Default Risk Borrowers",1,,,
56,159467,1,48,9.24,470241.144004382,3,0.06143396439388714,0.0,1078,2,"High Income, High Default Risk Borrowers",1,,,
34,247944,2,60,10.89,279074.255636299,1,0.018759235956506307,0.0,726,2,"High Income, High Default Risk Borrowers",1,,,
24,91559,2,60,6.64,201172.056335953,1,0.03661977522690287,0.0,10,1,"Affluent, Low Risk Borrowers",0,,,
46,185102,1,24,16.24,153026.958113497,2,0.03444652137740273,1.3620761425766013,267,3,"Secured, Moderate Risk Borrowers",0,,,
22,134735,2,36,17.31,692636.491225908,1,0.14279808513007014,1.0036886093282418,0,3,"Secured, Moderate Risk Borrowers",0,,,
35,76212,1,60,6.78,525143.542471291,8,0.11484267569411641,0.8077028133898434,288,3,"Secured, Moderate Risk Borrowers",0,,,
21,60379,0,36,13.05,264662.173934448,3,0.12175971778267278,1.0037083870840715,135,3,"Secured, Moderate Risk Borrowers",0,,,
52,223786,2,48,11.91,80545.997021894,2,0.007498413663053095,1.4774962582088926,14,3,"Secured, Moderate Risk Borrowers",0,,,
42,31456,3,36,12.83,950860.370100742,9,0.8396741480162767,0.0,282,0,"Low Income, High EMI Burden Borrowers",1,,,
48,171995,2,60,10.47,441059.808097121,3,0.04273961452367801,1.4540422650780886,274,3,"Secured, Moderate Risk Borrowers",0,,,
56,244027,0,60,8.68,1152937.23333495,8,0.07874382752728182,0.5561620099033144,7,1,"Affluent, Low Risk Borrowers",0,,,
23,122803,2,36,8.62,395791.539078516,3,0.08952721024730666,1.3691748574030873,328,3,"Secured, Moderate Risk Borrowers",0,,,
45,152348,1,12,9.42,1155408.57314984,2,0.6320007482868171,0.5631299092079662,288,0,"Low Income, High EMI Burden Borrowers",1,,,
47,114304,0,72,8.11,309283.217879672,0,0.037580487122060476,1.451396861979106,0,3,"Secured, Moderate Risk Borrowers",0,,,
50,125169,0,36,5.67,746005.802915789,3,0.16555520935694942,1.28250014438029,261,3,"Secured, Moderate Risk Borrowers",0,,,
50,51378,0,60,5.24,57630.5865766272,1,0.018694966717271985,0.6114876878387816,540,2,"High Income, High Default Risk Borrowers",1,,,
60,55390,0,72,15.28,303243.056845574,5,0.07603737136667268,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
53,88770,0,60,14.99,220312.112266242,0,0.04136386166497691,0.6390022051990781,165,1,"Affluent, Low Risk Borrowers",0,,,
31,54062,1,72,6.38,444004.589487209,1,0.11406773704265472,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
64,164381,3,36,10.83,1003220.89679716,1,0.16952841265109714,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
38,51914,3,72,6.72,729559.342377464,2,0.19518376545825789,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
49,248782,0,72,17.85,52790.3842862804,1,0.0029471585564872058,0.5625069415104114,342,1,"Affluent, Low Risk Borrowers",0,,,
52,126335,0,36,11.4,789211.478743011,1,0.17352705109431274,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
29,66924,0,48,17.22,881515.328728099,9,0.27441426095272253,0.0,118,1,"Affluent, Low Risk Borrowers",0,,,
38,30563,1,48,12.03,850926.611382455,6,0.5800359912312273,0.0,236,0,"Low Income, High EMI Burden Borrowers",1,,,
54,158401,2,24,11.19,1565339.02439741,9,0.411755355079829,0.7191260646707988,27,0,"Low Income, High EMI Burden Borrowers",1,,,
21,63604,3,72,13.75,330550.019413816,5,0.07218052323753224,1.2288698044883373,54,3,"Secured, Moderate Risk Borrowers",0,,,
46,21471,3,60,9.94,375704.148265097,1,0.29163709189138837,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
38,152513,3,60,14.51,468696.228220442,1,0.05121924032705409,0.0,98,1,"Affluent, Low Risk Borrowers",0,,,
22,188724,3,24,11.46,428509.038513594,3,0.0946066213094254,1.2009353650179992,0,3,"Secured, Moderate Risk Borrowers",0,,,
43,204648,3,60,12.72,133342.794565845,8,0.010859524647199094,0.0,29,1,"Affluent, Low Risk Borrowers",0,,,
28,76272,1,48,16.13,39189.89200788191,0,0.010704583595552758,0.0,69,1,"Affluent, Low Risk Borrowers",0,,,
32,159539,0,48,15.09,442088.685663926,3,0.05772995944565279,0.9472010322164369,232,3,"Secured, Moderate Risk Borrowers",0,,,
57,33752,1,12,8.3,441147.748578913,2,1.0891890850912538,0.0,0,0,"Low Income, High EMI Burden Borrowers",1,,,
53,143335,3,48,12.29,319734.981097357,3,0.04647259915582377,0.0,444,1,"Affluent, Low Risk Borrowers",0,,,
23,173059,1,12,8.57,1108570.9088099,2,0.5338116480506648,0.0,69,0,"Low Income, High EMI Burden Borrowers",1,,,
46,245008,0,48,7.16,918622.568843556,1,0.07811161268203488,0.0,0,1,"Affluent, Low Risk Borrowers",0,,,
58,47779,1,60,10.18,57594.4822747185,0,0.020090625588647732,0.0,61,1,"Affluent, Low Risk Borrowers",0,,,
33,171498,1,72,11.66,1247525.5701565,10,0.10103173214847988,0.0,68,1,"Affluent, Low Risk Borrowers",0,,,
55,47556,2,36,14.1,99251.5916979537,2,0.05797354697619648,0.0,79,1,"Affluent, Low Risk Borrowers",0,,,
